target,train_sample_count,train_MAE,train_MSE,train_RMSE,train_R2,test_sample_count,test_MAE,test_MSE,test_RMSE,test_R2,gap_MAE(test-train),gap_RMSE(test-train),gap_R2(train-test)
delta_Voc,1243,0.05090648385746172,0.006330094695020051,0.07956189222875516,0.5567287558960743,419,0.07321095248895564,0.012755772578224344,0.11294145641979451,0.2572643626987626,0.022304468631493914,0.03337956419103935,0.29946439319731166
delta_Jsc,1246,1.9627366800959725,8.884597247989715,2.9807041530466782,0.6018264756591295,420,2.7554051255289713,17.01775399264289,4.125258051642696,0.24997929153934895,0.7926684454329989,1.1445538985960177,0.35184718411978055
delta_PCE,1285,2.2634157179182317,9.617047723121631,3.1011365212001922,0.6184956631700915,434,2.8573757496813807,14.789438877493925,3.84570395083838,0.42246172516897174,0.593960031763149,0.7445674296381877,0.1960339380011198
delta_FF,1233,0.056941071979499325,0.006990214119911139,0.08360750038071428,0.5564288680338731,418,0.07133188508677532,0.010478463842423647,0.10236436803118382,0.42050119209075876,0.014390813107275996,0.018756867650469536,0.1359276759431144
