Ref_ID,JV_default_Voc,JV_default_Jsc,JV_default_PCE,JV_default_FF
20,0.913,15.77,10.0,0.7
22,1.06,19.2,13.3,0.654
23,1.09,21.2,16.2,0.701
24,1.1,21.53,17.2,0.727
25,1.07,21.08,15.0,0.665
26,1.06,19.2,13.3,0.654
27,1.1,21.53,17.2,0.727
72,1.12,20.3,16.1,0.71
89,1.0,20.0,13.0,0.65
90,1.1,23.0,17.2,0.68
91,1.1,22.0,15.0,0.62
169,1.05,21.76,17.42,0.762
170,1.03,20.84,15.92,0.74
171,0.98,20.99,14.09,0.6779999999999999
267,1.1,21.95,17.87,0.74
297,1.01,20.47,14.41,0.6970000000000001
391,0.888,23.908,14.16,0.667
411,1.07,22.41,16.02,0.67
412,1.07,22.78,17.37,0.71
413,1.091,22.8,18.67,0.75
414,1.103,23.54,19.7,0.76
415,1.101,22.52,18.33,0.74
475,0.96,12.89,6.75,0.54
529,1.05,20.68,15.33,0.7
853,1.03,20.5,13.84,0.626
854,1.06,21.4,16.16,0.6829999999999999
855,1.01,18.5,13.05,0.6509999999999999
919,1.072,21.02,17.09,0.758
924,1.01,21.8,14.7,0.6679999999999999
925,0.96,22.4,14.5,0.672
926,1.01,22.2,16.5,0.733
927,0.98,22.4,15.6,0.708
928,1.02,22.3,17.3,0.76
929,0.96,22.3,14.6,0.6809999999999999
930,1.0,21.8,16.2,0.745
931,0.91,22.4,13.0,0.634
932,1.0,22.8,15.9,0.7
946,0.984,17.4,9.39,0.545
949,0.99,19.05,11.62,0.616
950,0.97,18.36,10.72,0.602
951,0.99,19.05,11.62,0.616
952,0.986,16.02,8.7,0.575
1145,1.06,20.99,16.09,0.7240000000000001
1147,1.07,20.88,16.02,0.72
1148,1.07,21.49,16.58,0.722
1149,1.07,20.72,16.0,0.7290000000000001
1150,1.07,20.89,16.31,0.736
1152,1.1,20.87,17.0,0.74
1153,1.07,20.98,16.35,0.726
1166,1.03,15.75,10.2,0.629
1241,1.075,20.7,16.1,0.725
1242,1.075,20.7,16.1,0.725
1352,1.01,22.96,17.25,0.74
1354,1.1,23.58,20.21,0.778
1356,1.101,21.42,17.0,0.7390000000000001
1360,1.071,16.31,13.3,0.7609999999999999
1362,1.105,22.11,18.92,0.774
1363,1.102,22.35,18.69,0.759
1365,1.11,21.72,18.4,0.763
1507,1.01,19.95,13.64,0.677
1597,,,,
1612,1.098,19.92,11.48,0.524
1613,1.01,12.85,8.64,0.6659999999999999
1614,1.05,10.75,6.37,0.562
1615,1.09,16.98,9.86,0.535
1616,0.927,9.82,2.04,0.2239999999999999
1821,0.94,18.4,11.57,0.653
1822,0.95,20.1,13.52,0.684
2024,0.99,21.01,14.11,0.68
2025,0.99,20.9,15.1,0.73
2026,1.07,21.12,17.4,0.77
2027,0.84,19.6,11.25,0.68
2028,0.97,19.4,12.9,0.6779999999999999
2029,0.944,21.2,13.21,0.66
2030,0.945,21.2,13.78,0.688
2031,0.975,21.2,15.71,0.76
2032,0.82,19.5,10.32,0.645
2039,0.02,1.0,12.4,0.62
2078,0.89,5.6,2.4,0.482
2085,1.09,23.0,11.48,0.527
2086,1.05,22.3,14.05,0.6
2087,1.02,20.5,12.02,0.575
2099,1.06,22.9,16.89,0.696
2103,,,17.15,
2115,1.1,23.2,17.7,0.6920000000000001
2699,0.8240000000000001,16.14,9.33,0.7020000000000001
2757,1.01,20.5,15.7,0.76
2837,1.02,21.96,15.2,0.68
2844,0.8240000000000001,15.1,8.6,0.69
2874,1.01,21.38,15.51,0.72
2875,0.94,21.17,10.96,0.52
2876,0.92,19.15,8.7,0.47
2877,1.08,22.05,17.56,0.74
2878,1.04,20.8,15.33,
2900,0.99,21.18,14.08,0.672
2901,1.07,21.56,16.33,0.708
3218,1.01,19.42,14.38,0.733
3384,1.03,19.93,13.58,0.66
3385,1.03,22.26,15.0,0.65
3415,1.02,21.78,10.5,0.47
3499,1.045,20.3,14.4,0.677
3503,0.93,14.64,9.63,0.71
3504,0.93,15.7,10.12,0.69
3505,0.88,16.9,9.94,0.67
3506,0.87,18.5,8.95,0.56
3552,1.08,22.46,15.4,0.635
3553,1.11,23.01,17.39,0.68
3554,1.12,22.64,16.34,0.647
3568,1.1,20.37,15.9,0.71
3655,0.88,17.93,8.68,0.547
3697,0.97,17.2,7.7,0.481
3698,0.951,19.8,10.7,0.588
3699,0.972,18.9,11.2,0.616
3700,0.953,16.6,8.5,0.53
3701,0.965,18.7,12.7,0.612
3709,1.07,17.3,10.9,0.59
3789,1.07,24.5,18.7,0.77
3822,0.89,15.8,8.99,0.635
3823,0.8,15.5,7.39,0.596
3824,0.78,14.6,6.94,0.599
3825,0.75,14.45,6.64,0.612
3826,0.76,14.28,5.98,0.5489999999999999
3827,0.64,9.2,3.29,0.5579999999999999
3903,1.06,20.64,14.12,0.65
3953,1.09,22.86,17.94,0.72
3955,1.02,21.76,5.63,0.25
4012,1.01,20.97,12.62,0.598
4028,0.97,20.9,14.5,0.72
4029,,,10.1,
4076,0.856,17.1,8.3,0.56
4101,1.03,23.53,14.47,0.597
4102,1.08,24.38,17.27,0.6559999999999999
4172,1.1,23.2,15.8,0.62
4174,1.04,21.4,11.7,0.528
4200,1.09,17.62,11.7,0.61
4237,0.97,19.71,11.28,0.59
4239,0.78,13.64,4.46,0.42
4300,0.94,17.88,11.26,0.67
4301,0.97,17.46,11.88,0.7
4302,1.0,18.17,12.42,0.69
4303,1.0,17.39,12.21,0.7
4304,0.98,16.53,11.48,0.71
4305,0.905,15.68,9.32,0.66
4306,0.92,16.22,9.88,0.66
4307,0.95,16.66,10.98,0.66
4310,0.935,16.05,9.91,0.66
4311,1.07,22.1,16.1,0.67
4376,0.87,16.72,6.64,0.46
4377,0.96,18.05,12.0,0.69
4378,0.92,17.65,10.59,0.65
4380,0.96,20.1,9.3,0.48
4381,1.01,20.3,11.7,0.57
4382,0.98,20.7,12.1,0.59
4384,0.99,21.8,14.0,0.64
4489,0.79,21.7,11.6,0.68
4490,0.85,19.3,10.4,0.63
4491,0.79,21.7,11.6,0.68
4513,0.94,15.0,6.04,0.43
4586,1.05,20.5,13.9,0.63
4587,1.09,22.7,16.8,0.67
4813,1.08,22.71,17.46,0.7120000000000001
4914,1.11,23.42,19.53,0.752
4915,1.14,24.1,21.31,0.7759999999999999
5029,0.92,20.52,11.91,0.63
5037,0.93,20.14,12.23,0.66
5041,0.93,19.74,11.95,0.65
5045,0.92,19.13,10.51,0.6
5049,0.9,19.05,7.56,0.44
5053,0.88,12.74,2.81,0.25
5351,0.932,17.1,10.2,0.64
5560,1.06,21.72,17.07,0.741
5676,0.02,1.014,14.67,0.72
5681,,,,
5682,0.98,21.3,11.8,0.56
5683,0.96,17.2,11.4,0.69
5686,0.96,17.5,9.8,0.59
5760,0.926,23.2,15.0,0.698
5848,0.93,9.4,5.0,0.57
5849,0.93,11.4,6.6,0.63
5850,0.99,16.5,10.9,0.67
5852,0.95,12.6,7.1,0.75
5854,0.97,13.3,2.9,0.84
5862,1.06,4.02,3.11,0.73
5934,0.99,22.4,15.21,0.6859999999999999
6211,1.044,21.5,15.9,0.71
6522,0.51,15.0,2.5,0.41
6523,0.86,15.1,5.8,0.43
6524,0.6,14.8,6.3,0.5
6526,0.85,15.3,6.8,0.52
6527,0.78,15.1,5.5,0.55
6529,1.029,15.6,10.9,0.68
6530,1.011,15.36,5.3,0.643
6752,0.6,15.0,5.0,0.55
6753,0.82,20.0,7.0,0.42
6755,1.05,17.0,9.2,0.52
6756,0.78,0.0,0.0,0.22
6757,0.59,12.0,3.2,0.48
6758,0.87,12.5,5.7,0.5
6760,1.0,17.5,10.5,0.58
6762,0.97,16.9,12.7,0.695
6891,1.1,21.42,16.03,0.68
6892,1.09,1.09,14.39,0.6509999999999999
6919,0.93,20.6,12.7,0.664
6920,0.91,22.3,14.0,0.688
6921,0.9,18.5,11.1,0.667
7018,0.815,13.79,6.73,0.598
7019,0.8590000000000001,16.01,7.43,0.541
7022,1.003,22.74,14.04,0.615
7023,1.009,22.76,16.55,0.722
7024,0.968,21.82,14.34,0.679
7135,0.965,9.7,5.9,0.63
7137,0.758,3.7,1.8,0.59
7145,1.05,22.03,16.26,0.703
7146,0.98,21.14,12.68,0.615
7147,0.95,19.21,8.99,0.492
7148,0.91,7.77,2.95,0.418
7149,0.87,0.4,0.13,0.367
7150,0.69,0.17,0.04,0.305
7203,0.93,11.0,5.3,0.5
7204,0.938,11.8,7.0,0.63
7226,1.095,22.66,18.61,0.75
7227,1.111,23.11,19.71,0.768
7480,0.92,6.06,2.5,0.447
7481,0.94,4.35,1.77,0.434
7482,0.95,10.8,5.0,0.49
7483,1.05,17.9,14.5,0.77
7484,1.03,20.6,14.9,0.7
7487,1.06,19.6,15.4,0.74
7489,1.02,21.0,16.4,0.76
7490,1.05,22.2,17.5,0.75
7498,0.93,19.1,11.25,0.65
7548,0.92,22.44,14.04,0.68
7550,0.89,22.1,13.75,0.7
7552,0.96,18.57,11.05,0.62
7644,0.63,14.9,4.49,0.478
7645,0.7140000000000001,11.3,4.54,0.5660000000000001
7762,1.06,21.57,16.62,0.7240000000000001
7763,1.05,20.97,16.61,0.753
7764,1.06,21.02,16.69,0.758
7766,1.05,17.88,12.39,0.65
7767,1.05,11.05,7.31,0.62
7768,1.07,23.66,19.24,0.7759999999999999
7946,1.11,25.25,20.78,0.745
8023,0.974,23.01,12.72,0.56
8032,1.01,22.17,14.12,0.73
8034,0.97,20.05,9.07,0.635
