target,sample_count,MAE,MSE,RMSE,R2
delta_Voc,1250,0.052908642774121925,0.006511288286086605,0.08069255409321609,0.5755031401455974
delta_Jsc,1254,1.903433712577781,9.043308947178081,3.007209495059844,0.6064369639180422
delta_PCE,1289,2.162503142155811,9.1637287937226,3.0271651414685983,0.6386072236391026
delta_FF,1242,0.055141451278217485,0.006616794742781188,0.08134368286954549,0.5914141025336742
