Ref_ID,Simulation_Voc,Simulation_Jsc,Simulation_PCE,Simulation_FF,JV_default_Voc,JV_default_Jsc,JV_default_PCE,JV_default_FF
2556,1.021430e+00,-2.806672e+02,1.997714e+01,6.968401e-01,0.98,19.0,12.04,0.647
4013,1.021805e+00,-2.842343e+02,2.017787e+01,6.947532e-01,0.94,2.85,0.76,0.287
8650,1.021642e+00,-2.826705e+02,2.009027e+01,6.956754e-01,1.04,19.62,15.24,0.73
8651,1.021642e+00,-2.826705e+02,2.009027e+01,6.956754e-01,1.08,21.53,16.23,0.738
8652,1.021642e+00,-2.826705e+02,2.009027e+01,6.956754e-01,1.1,21.66,16.92,0.752
8653,1.021642e+00,-2.826705e+02,2.009027e+01,6.956754e-01,1.05,19.69,15.86,0.736
29836,1.021430e+00,-2.806672e+02,1.997714e+01,6.968401e-01,0.97,18.67,12.48,0.6890000000000001
