target,train_sample_count,train_MAE,train_MSE,train_RMSE,train_R2,test_sample_count,test_MAE,test_MSE,test_RMSE,test_R2,gap_MAE(test-train),gap_RMSE(test-train),gap_R2(train-test)
delta_Voc,1239,0.049985158232092576,0.0064744709093734355,0.08046409702080447,0.5567020033201495,424,0.07205937382219661,0.012562584305468973,0.11208293494314366,0.22537208685976684,0.022074215590104036,0.03161883792233919,0.3313299164603827
delta_Jsc,1242,1.8981348168821617,8.788578473426382,2.964553671874804,0.6031284896957522,425,2.671777418019589,15.663247432138691,3.957682078204197,0.3237322825647282,0.7736426011374271,0.9931284063293933,0.279396207131024
delta_PCE,1285,2.179262219169421,9.201145491419902,3.0333390004119063,0.6339116294177112,435,2.862699951426704,14.499432438106991,3.8078120276750784,0.44051786398003356,0.6834377322572833,0.7744730272631721,0.1933937654376776
delta_FF,1228,0.060385092835284954,0.016959817971518503,0.13022986589687677,0.45698093535770934,424,0.07208381073028002,0.010752986096070796,0.10369660600073079,0.37232424122327124,0.011698717894995062,-0.02653325989614598,0.0846566941344381
