target,sample_count,MAE,RMSE,R2
Voc,1237,0.04729807295883095,0.07206363521283957,0.6241417615971019
Jsc,1237,1.7359484995363217,2.664949701897663,0.6743627248567199
PCE,1237,2.0324179077483344,2.7840074069125538,0.6829466362996752
FF,1237,0.05552023334576632,0.11699009625411726,0.5415163153129667
